IP Address,MAC Address,Hostname,DHCP Client Name,System Name,Description,Contact,System Location,Vendor,Machine Type,Comments,Response Time,Last Boot Time,Last Synchronization,Status,System Object ID,Type,Skip Scan,Alias,Lease Expiration,Dual Stack IPv6 Address,Subnet Display Name,Subnet Address,Subnet CIDR,Subnet Mask
10.10.12.171,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.171,24,255.255.255.0
10.10.12.172,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.172,24,255.255.255.0
10.10.12.173,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.173,24,255.255.255.0
10.10.12.174,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.174,24,255.255.255.0
10.10.12.175,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.175,24,255.255.255.0
10.10.12.176,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.176,24,255.255.255.0
10.10.12.177,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.177,24,255.255.255.0
10.10.12.178,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.178,24,255.255.255.0
10.10.12.179,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.179,24,255.255.255.0
10.10.12.180,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.180,24,255.255.255.0
10.10.12.181,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.181,24,255.255.255.0
10.10.12.182,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.182,24,255.255.255.0
10.10.12.183,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.183,24,255.255.255.0
10.10.12.184,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.184,24,255.255.255.0
10.10.12.185,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.185,24,255.255.255.0
10.10.12.186,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.186,24,255.255.255.0
10.10.12.187,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.187,24,255.255.255.0
10.10.12.188,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.188,24,255.255.255.0
10.10.12.189,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.189,24,255.255.255.0
10.10.12.190,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.190,24,255.255.255.0
10.10.12.191,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.191,24,255.255.255.0
10.10.12.192,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.192,24,255.255.255.0
10.10.12.193,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.193,24,255.255.255.0
10.10.12.194,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.194,24,255.255.255.0
10.10.12.195,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.195,24,255.255.255.0
10.10.12.196,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.196,24,255.255.255.0
10.10.12.197,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.197,24,255.255.255.0
10.10.12.198,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.198,24,255.255.255.0
10.10.12.199,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.199,24,255.255.255.0
10.10.12.200,B8-97-5A-2A-DD-5B,,DVD-Scribe2.sifbaksh.com,,,,,BIOSTAR Microtech Int'l Corp.,,,,,5/23/17 18:00,Used,,Dynamic,No,,5/23/17 12:37,,CO-9thFlr-DATA-101,10.10.12.200,24,255.255.255.0
10.10.12.201,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.201,24,255.255.255.0
10.10.12.202,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.202,24,255.255.255.0
10.10.12.203,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.203,24,255.255.255.0
10.10.12.204,D4-3D-7E-30-B9-B5,,AT-7489.sifbaksh.com,,,,,"Micro-Star Int'l Co, Ltd",,,,,8/17/17 23:42,Used,,Dynamic,No,,8/17/17 10:20,,CO-9thFlr-DATA-101,10.10.12.204,24,255.255.255.0
10.10.12.205,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.205,24,255.255.255.0
10.10.12.206,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.206,24,255.255.255.0
10.10.12.207,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.207,24,255.255.255.0
10.10.12.208,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.208,24,255.255.255.0
10.10.12.209,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.209,24,255.255.255.0
10.10.12.210,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.210,24,255.255.255.0
10.10.12.211,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.211,24,255.255.255.0
10.10.12.212,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.212,24,255.255.255.0
10.10.12.213,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.213,24,255.255.255.0
10.10.12.214,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.214,24,255.255.255.0
10.10.12.215,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.215,24,255.255.255.0
10.10.12.216,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.216,24,255.255.255.0
10.10.12.217,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.217,24,255.255.255.0
10.10.12.218,FC-4D-D4-41-74-B2,,AT7799.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,5/10/17 13:03,Used,,Dynamic,No,,5/10/17 12:18,,CO-9thFlr-DATA-101,10.10.12.218,24,255.255.255.0
10.10.12.219,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.219,24,255.255.255.0
10.10.12.220,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.220,24,255.255.255.0
10.10.12.221,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.221,24,255.255.255.0
10.10.12.222,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.222,24,255.255.255.0
10.10.12.223,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.223,24,255.255.255.0
10.10.12.224,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.224,24,255.255.255.0
10.10.12.225,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.225,24,255.255.255.0
10.10.12.226,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.226,24,255.255.255.0
10.10.12.227,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.227,24,255.255.255.0
10.10.12.228,FC-4D-D4-41-72-C0,,AT-7788.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,6/23/17 12:35,Used,,Dynamic,No,,6/23/17 7:49,,CO-9thFlr-DATA-101,10.10.12.228,24,255.255.255.0
10.10.12.229,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.229,24,255.255.255.0
10.10.12.230,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.230,24,255.255.255.0
10.10.12.231,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.231,24,255.255.255.0
10.10.12.232,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.232,24,255.255.255.0
10.10.12.233,FC-4D-D4-41-93-99,,AT7809.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,12/18/18 11:25,Used,,Dynamic,No,,12/18/18 13:37,,CO-9thFlr-DATA-101,10.10.12.233,24,255.255.255.0
10.10.12.234,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.234,24,255.255.255.0
10.10.12.235,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.235,24,255.255.255.0
